lag_2,lag_1,y
0.684374988,0.625,0.606249988
0.625,0.606249988,0.6031249761581421
0.606249988,0.6031249761581421,0.612500012
0.6031249761581421,0.612500012,0.606249988
0.612500012,0.606249988,0.5874999761581421
0.606249988,0.5874999761581421,0.534375012
0.5874999761581421,0.534375012,0.53125
0.534375012,0.53125,0.653124988
0.53125,0.653124988,0.699999988
0.653124988,0.699999988,0.628125012
0.699999988,0.628125012,0.6000000238418579
0.628125012,0.6000000238418579,0.625
0.6000000238418579,0.625,0.5843750238418579
0.625,0.5843750238418579,0.5531250238418579
0.5843750238418579,0.5531250238418579,0.546875
0.5531250238418579,0.546875,0.5718749761581421
0.546875,0.5718749761581421,0.5531250238418579
0.5718749761581421,0.5531250238418579,0.565625012
0.5531250238418579,0.565625012,0.574999988
0.565625012,0.574999988,0.5218750238418579
0.574999988,0.5218750238418579,0.512499988
0.5218750238418579,0.512499988,0.5406249761581421
0.512499988,0.5406249761581421,0.5644999742507935
0.5406249761581421,0.5644999742507935,0.5899999737739563
0.5644999742507935,0.5899999737739563,0.5580000281333923
0.5899999737739563,0.5580000281333923,0.5515000224113464
0.5580000281333923,0.5515000224113464,0.5419999957084656
0.5515000224113464,0.5419999957084656,0.5264999866485596
0.5419999957084656,0.5264999866485596,0.457500011
0.5264999866485596,0.457500011,0.449999988
0.457500011,0.449999988,0.4650000035762787
0.449999988,0.4650000035762787,0.4449999928474426
0.4650000035762787,0.4449999928474426,0.5950000286102295
0.4449999928474426,0.5950000286102295,0.675000012
0.5950000286102295,0.675000012,0.6825000047683716
0.675000012,0.6825000047683716,0.7505000233650208
0.6825000047683716,0.7505000233650208,0.7269999980926514
0.7505000233650208,0.7269999980926514,0.7434999942779541
0.7269999980926514,0.7434999942779541,0.9079999923706056
0.7434999942779541,0.9079999923706056,0.8450000286102295
0.9079999923706056,0.8450000286102295,0.8100000023841858
0.8450000286102295,0.8100000023841858,0.8730000257492065
0.8100000023841858,0.8730000257492065,0.8399999737739563
0.8730000257492065,0.8399999737739563,0.8050000071525574
0.8399999737739563,0.8050000071525574,0.824999988
0.8050000071525574,0.824999988,0.7864999771118164
0.824999988,0.7864999771118164,0.8450000286102295
0.7864999771118164,0.8450000286102295,0.8500000238418579
0.8450000286102295,0.8500000238418579,0.8715000152587891
0.8500000238418579,0.8715000152587891,0.8500000238418579
0.8715000152587891,0.8500000238418579,0.8799999952316284
0.8500000238418579,0.8799999952316284,0.8765000104904175
0.8799999952316284,0.8765000104904175,0.8245000243186951
0.8765000104904175,0.8245000243186951,0.7829999923706055
0.8245000243186951,0.7829999923706055,0.7820000052452087
0.7829999923706055,0.7820000052452087,0.7400000095367432
0.7820000052452087,0.7400000095367432,0.7264999747276306
0.7400000095367432,0.7264999747276306,0.7149999737739563
0.7264999747276306,0.7149999737739563,0.718999982
0.7149999737739563,0.718999982,0.75
0.718999982,0.75,0.75
0.75,0.75,0.8209999799728394
0.75,0.8209999799728394,0.8500000238418579
0.8209999799728394,0.8500000238418579,0.8399999737739563
0.8500000238418579,0.8399999737739563,0.8374999761581421
0.8399999737739563,0.8374999761581421,0.8765000104904175
0.8374999761581421,0.8765000104904175,0.8769999742507935
0.8765000104904175,0.8769999742507935,0.8500000238418579
0.8769999742507935,0.8500000238418579,0.8600000143051147
0.8500000238418579,0.8600000143051147,0.8654999732971191
0.8600000143051147,0.8654999732971191,0.8700000047683716
0.8654999732971191,0.8700000047683716,0.8960000276565552
0.8700000047683716,0.8960000276565552,0.8360000252723694
0.8960000276565552,0.8360000252723694,0.8115000128746033
0.8360000252723694,0.8115000128746033,0.8165000081062317
0.8115000128746033,0.8165000081062317,0.7774999737739563
0.8165000081062317,0.7774999737739563,0.7394999861717224
0.7774999737739563,0.7394999861717224,0.7574999928474426
0.7394999861717224,0.7574999928474426,0.7059999704360962
0.7574999928474426,0.7059999704360962,0.6729999780654907
0.7059999704360962,0.6729999780654907,0.6349999904632568
0.6729999780654907,0.6349999904632568,0.6324999928474426
0.6349999904632568,0.6324999928474426,0.6349999904632568
0.6324999928474426,0.6349999904632568,0.6600000262260437
0.6349999904632568,0.6600000262260437,0.6635000109672546
0.6600000262260437,0.6635000109672546,0.6570000052452087
0.6635000109672546,0.6570000052452087,0.6869999766349792
0.6570000052452087,0.6869999766349792,0.7124999761581421
0.6869999766349792,0.7124999761581421,0.7294999957084656
0.7124999761581421,0.7294999957084656,0.7325000166893005
0.7294999957084656,0.7325000166893005,0.7354999780654907
0.7325000166893005,0.7354999780654907,0.7250000238418579
0.7354999780654907,0.7250000238418579,0.7724999785423279
